task_id,success,latency_ms,cost_usd,human_review,error_type,prompt_version,user_rating
run-001,true,3100,0.018,false,,v1,4
run-002,true,2800,0.016,false,,v1,5
run-003,false,9400,0.047,true,tool_error,v1,2
run-004,true,3600,0.021,false,,v1,4
run-005,false,12100,0.062,true,timeout,v1,1
run-006,true,4200,0.024,false,,v1,4
run-007,false,6800,0.039,true,unverified_answer,v1,2
run-008,true,2600,0.014,false,,v1,5
run-009,true,3300,0.019,false,,v1,4
run-010,false,8700,0.052,true,tool_error,v1,2
run-011,true,2500,0.013,false,,v2,5
run-012,true,2300,0.012,false,,v2,5
run-013,true,2900,0.015,false,,v2,4
run-014,false,7200,0.041,true,tool_error,v2,2
run-015,true,2700,0.014,false,,v2,5
run-016,true,3200,0.017,false,,v2,4
run-017,true,2400,0.012,false,,v2,5
run-018,false,8100,0.044,true,unverified_answer,v2,2
run-019,true,3000,0.016,false,,v2,4
run-020,true,2600,0.013,false,,v2,5
run-021,true,2800,0.014,false,,v2,4
run-022,true,3100,0.016,false,,v2,4
run-023,false,7600,0.043,true,tool_error,v2,2
run-024,true,2500,0.013,false,,v2,5
run-025,true,2900,0.015,false,,v2,4
run-026,true,3400,0.018,false,,v2,4
run-027,false,9200,0.049,true,timeout,v2,1
run-028,true,2700,0.014,false,,v2,5
run-029,true,3000,0.016,false,,v2,4
run-030,true,2200,0.011,false,,v2,5
